Total Value,Parcel ID,Map Number,Property   Location ,Township ,Land Use,Property Class,Land Area (acreage),Neighborhood Code,Zoning,Legal Desc,Utilities1,Utilities2,Utilities3
$820,09.14B.3-16.28,09731502881804,ZEPHYR RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 28 BLK 16 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-16.30,09731502880877,ZEPHYR RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 30 BLK 16 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-16.32,09731502880922,ZEPHYR RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 32 BLK 16 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-2.21,09731502769938,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 21 & 23 BLK 2,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-2.25,09731502778064,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 25 BLK 2 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-2.27,09731502778038,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 27 BLK 2 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$850,09.14B.3-2.3,09731502863634,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.12,09R14,R3,LOT 3 BLK 2 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-3.12,09731502873054,QUESTING RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 12 & 14 BLK 3 U 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-3.16,09731502872172,QUESTING RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 16 & 18 BLK 3 U 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-3.19,09731502871184,PEPPER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 19 & 20 BLK 3 U 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-3.6,09731502864984,QUESTING RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 6 & 8 BLK 3 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-4.11,09731502874144,QUESTING RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 11 & 13 BLK 4 U 3,8-Electric,5-WELL,6-SEPTIC
"$10,500",09.14B.3-4.12,09731502874273,ROSEWOOD RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.35,09R14,R3,LOTS 12 14 & 16 BLK 4 U,8-Electric,5-WELL,6-SEPTIC
"$7,980",09.14B.3-4.15,09731502873261,QUESTING RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.21,09R14,R3,LOTS 15 & 17 BLK 4 U 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-4.30,09731502871552,ROSEWOOD RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 30 BLK 4 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,480",09.14B.3-4.31,09731502871509,SUNSET RD,Middle Smithfield,915-Amenties,6-Amenity,.12,09R14,R3,LOT 31 BLK 4 UNIT 3,8-Electric,-,-
"$7,800",09.14B.3-6.32,09731502873858,SUNSET RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.20,09R14,R3,LOTS 32 & 33 BLK 6 U 3,8-Electric,5-WELL,6-SEPTIC
$850,09.14B.3-6.34,09731502873802,SUNSET RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.12,09R14,R3,LOT 34 BLK 6 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-7.19,09731502877810,VISTA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 19 & 21 BLK 7 U 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-7.27,09731502875954,VISTA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 27 & 29 BLK 7 U 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-7.31,09731502885140,SUNSET RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 31 BLK 7 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-8.15,09731502879858,WOODS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 15 BLK 8 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-8.16,09731502970915,ZEPHYR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 16 BLK 8 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.10,09731502771591,MORRIS RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 10 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.11,09731502771565,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 11 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.12,09731502771630,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 12 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.3-9.16,09731502679767,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 16 & 17 BLK 9,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.4,09731502774238,MORRIS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 4 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.5,09731502773392,MORRIS RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 5 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.8,09731502772473,MORRIS RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 8 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.3-9.9,09731502772447,MORRIS RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 9 BLK 9 UNIT 3,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.4-1.15,09731502981005,ZEPHYR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 15 & 17 BLK 1 U 4,8-Electric,5-WELL,6-SEPTIC
$870,09.14B.4-1.18,09731502981143,ADLER RD,Middle Smithfield,913-Developments,9-Taxable,.13,09R14,R3,LOT 18 BLK 1 UNIT 4,8-Electric,5-WELL,6-SEPTIC
"$7,620",09.14B.4-10.1,09731502889747,SUNSET RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.19,09R14,R3,LOT 1 BLOCK 10 UNIT 4,8-Electric,5-WELL,6-SEPTIC
"$9,960",09.14B.4-10.4,09731502888896,BEECH RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.32,09R14,R3,"LOTS 4,5 BLOCK 10 UNIT 4",8-Electric,5-WELL,6-SEPTIC
"$1,270",09.14B.4-10.6,09731502888902,BEECH RD,Middle Smithfield,915-Amenties,6-Amenity,.12,09R14,R3,LOT 6 BLK 10 UNIT 4,8-Electric,-,-
$820,09.14B.4-2.17,09731502982233,ADLER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 17 BLK 2 UNIT 4,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.4-2.18,09731502982390,BEECH RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 18 BLK 2 UNIT 4,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.4-3.23,09731502982541,BEECH RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 23 BLK 3 UNIT 4,8-Electric,5-WELL,6-SEPTIC
$820,09.14B.4-3.24,09731502983518,CHESTNUT RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 24 BLK 3 UNIT 4,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.4-8.13,09731502884647,ZEPHYR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 13 & 15 BLK 8 U 4,8-Electric,5-WELL,6-SEPTIC
"$8,340",09.14B.4-8.17,09731502883765,ZEPHYR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 17 & 19 BLK 8 U 4,8-Electric,5-WELL,6-SEPTIC
"$4,120",09.14B.4-8.21,09731502883801,ZEPHYR RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 21 BLK 8 UNIT 4,8-Electric,-,-
$820,09.14B.4-8.23,09731502882866,ZEPHYR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 23 BLK 8 UNIT 4,8-Electric,5-WELL,6-SEPTIC
"$8,240",09.14B.4-9.4,09731502888780,SUNSET RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 4 BLOCK 9 UNIT 4,8-Electric,-,-
"$14,470",09.14B.4-9.6,09731502887787,251 SUNSET RD,Middle Smithfield,111-Household Units,9-Taxable,.23,09R14,R3,"LOT 6,8 BLOCK 9 UNIT 4",6-Septic,5-WELL,8-Electric
"$6,720",09.14C.5-11.13,09732501169964,GERANIUM RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.14,09R14,R3,LOT 13 BLK 11 UNIT 5,8-Electric,-,-
$820,09.14C.5-13.4,09732501264653,JONQUIL PLZ,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 4 BLK 13 UNIT 5,8-Electric,-,-
$820,09.14C.5-13.8,09732501264763,JONQUIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 8 BLK 13 UNIT 5,8-Electric,-,-
"$13,760",09.14C.5-14.23,09732501277119,JONQUIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.34,09R14,R3,LOTS 23 & 25 BLK 14 U 5,8-Electric,-,-
"$10,140",09.14C.5-15.25,09732501279211,KORITA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.33,09R14,R3,LOTS 25 & 27 BLK 15 U 5,8-Electric,-,-
$820,09.14C.5-15.30,09732501370331,LILY RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 30 BLK 15 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-15.5,09732501268615,LILY RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 5 & 7 BLK 15 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-15.9,09732501268736,KORITA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 9 & 11 BLK 15 U 5,8-Electric,-,-
"$8,340",09.14C.5-16.17,09732501360994,LILY RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 17 & 19 BLK 16 U 5,8-Electric,-,-
$820,09.14C.5-16.22,09732501372001,MIMOSA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 22 BLK 16 UNIT 5,8-Electric,-,-
$820,09.14C.5-16.28,09732501372127,MIMOSA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 28 BLK 16 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-16.3,09732501360536,LILY RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 3 & 5 BLK 16 UNIT 5,8-Electric,-,-
"$8,700",09.14C.5-16.32,09732501371385,LILY RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.25,09R14,R3,LOT 32 BLK 16 UNIT 5,8-Electric,-,-
"$8,160",09.14C.5-17.17,09732501363916,MIMOSA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.22,09R14,R3,LOTS 17 & 18 BLK 17 U 5,8-Electric,-,-
"$4,920",09.14C.5-17.19,09732501373005,MIMOSA RD,Middle Smithfield,913-Developments,9-Taxable,.04,09R14,R3,LOT19 BLK 17 UNIT 5,8-Electric,-,-
"$4,120",09.14C.5-17.4,09732501363438,NASTURTIUM RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 4 BLK 17 UNIT 5,8-Electric,-,-
"$4,120",09.14C.5-17.6,09732501363543,NASTURTIUM RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 6 BLK 17 UNIT 5,8-Electric,-,-
$820,09.14C.5-17.7,09732501362650,MIMOSA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 7 BLK 17 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-17.8,09732501363651,NASTURTIUM RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 8 & 10 BLK 17 U 5,8-Electric,-,-
"$10,320",09.14C.5-18.1,09732501364462,NASTURTIUM RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.34,09R14,R3,LOTS 1 & 2 BLK 18 UNIT 5,8-Electric,-,-
"$8,000",09.14C.5-2.1,09732501058816,LAKE SHORE DR,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R3,LOT 1 BLK 2 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-2.13,09732501154753,ASTER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 13 & 14 BLK 2 U 5,8-Electric,-,-
$800,09.14C.5-2.2,09732501058801,LAKE SHORE DR,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R3,LOT 2 BLK 2 UNIT 5,8-Electric,-,-
$820,09.14C.5-2.3,09732501058882,ASTER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 3 BLK 2 UNIT 5,8-Electric,-,-
$820,09.14C.5-2.4,09732501059831,ASTER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 4 BLK 2 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-3.17,09732501152978,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 17 & 19 BLK 3 U 5,8-Electric,-,-
$820,09.14C.5-3.25,09732501154965,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 25 BLK 3 UNIT 5,8-Electric,-,-
$820,09.14C.5-3.27,09732501155914,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 27 BLK 3 UNIT 5,8-Electric,-,-
$820,09.14C.5-3.29,09732501155973,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 29 BLK 3 UNIT 5,8-Electric,-,-
"$8,240",09.14C.5-3.31,09732501156922,232 BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 31 BLK 3 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-3.33,09732501157911,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 33 & 35 BLK 3 U 5,8-Electric,-,-
"$8,340",09.14C.5-3.37,09732501158829,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 37 & 39 BLK 3 U 5,8-Electric,-,-
$820,09.14C.5-3.40,09732501158739,ASTER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 40 BLK 3 UNIT 5,8-Electric,-,-
"$8,240",09.14C.5-3.41,09732501159808,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 41 BLK 3 UNIT 5,8-Electric,-,-
$820,09.14C.5-3.42,09732501158788,ASTER RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 42 BLK 3 UNIT 5,8-Electric,-,-
$820,09.14C.5-3.43,09732501159856,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 43 BLK 3 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-4.25,09732501165066,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 25 & 27 BLK 4 U 5,8-Electric,-,-
"$8,340",09.14C.5-4.30,09732501167152,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 30 & 32 BLK 4 U 5,8-Electric,-,-
$820,09.14C.5-4.31,09732501167004,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 31 BLK 4 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-4.33,09732501167083,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 33 & 35 BLK 4 U 5,8-Electric,-,-
$820,09.14C.5-4.34,09732501168131,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 34 BLK 4 UNIT 5,8-Electric,-,-
$820,09.14C.5-4.37,09732501168071,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 37 BLK 4 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-4.39,09732501169050,BEGONIA RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 39 & 41 BLK 4 U 5,8-Electric,-,-
$850,09.14C.5-4.61,09732501256956,CARNATION RD,Middle Smithfield,913-Developments,9-Taxable,.12,09R14,R3,LOT 61 BLK 4 UNIT 5,8-Electric,-,-
$850,09.14C.5-4.62,09732501257916,CARNATION RD,Middle Smithfield,913-Developments,9-Taxable,.12,09R14,R3,LOT 62 BLK 4 UNIT 5,8-Electric,-,-
$820,09.14C.5-4.67,09732501259981,CARNATION RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 67 BLK 4 UNIT 5,8-Electric,-,-
$870,09.14C.5-4.68,09732501350940,CARNATION RD,Middle Smithfield,913-Developments,9-Taxable,.13,09R14,R3,LOT 68 BLOCK 4 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-4.69,09732501351819,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 69 & 70 BLK 4 U 5,8-Electric,-,-
$870,09.14C.5-4.73,09732501353815,CARNATION RD,Middle Smithfield,913-Developments,9-Taxable,.13,09R14,R3,LOT 73 BLK 4 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-4.74,09732501353894,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 74 & 75 BLK 4 U 5,8-Electric,-,-
"$8,340",09.14C.5-4.76,09732501355802,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 76 & 77 BLK 4 U 5,8-Electric,-,-
$820,09.14C.5-4.78,09732501355881,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 78 BLK 4 UNIT 5,8-Electric,-,-
"$1,230",09.14C.5-4.79,09732501356739,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.28,09R14,R3,LOT 79 BLK 4 UNIT 5,8-Electric,-,-
"$1,020",09.14C.5-4.80,09732501357708,CARNATION RD,Middle Smithfield,913-Developments,9-Taxable,.19,09R14,R3,LOT 80 BLK 4 UNIT 5,8-Electric,-,-
$820,09.14C.5-5.26,09732501167356,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 26 BLK 5 UNIT 5,8-Electric,-,-
$820,09.14C.5-5.28,09732501168315,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 28 BLK 5 UNIT 5,8-Electric,-,-
$820,09.14C.5-5.30,09732501168364,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 30 BLK 5 UNIT 5,8-Electric,-,-
"$8,240",09.14C.5-5.44,09732501262257,DAFFODIL RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 44 BLK 5 UNIT 5,8-Electric,-,-
$820,09.14C.5-5.45,09732501262138,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 45 BLK 5 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-5.53,09732501264183,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 53 & 55 BLK 5 U 5,8-Electric,-,-
"$8,340",09.14C.5-5.56,09732501266201,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 56 & 58 BLK 5 U 5,8-Electric,-,-
"$23,900",09.14C.5-5.57,09732501266111,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,3.00,09R14,R3,57 59 & 61 BLK 5 U 5,8-Electric,-,-
"$14,160",09.14C.5-5.61,09732501267068,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.36,09R14,R3,LOTS 63 65 & 67 BLK 5,8-Electric,-,-
"$8,340",09.14C.5-5.66,09732501268186,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 66 & 68 BLK 5 U 5,8-Electric,-,-
"$8,240",09.14C.5-5.69,09732501268096,CARNATION RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 69 BLK 5 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-5.74,09732501360068,DAFFODIL PLZ,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 74 & 75 BLK 5 U 5,8-Electric,-,-
"$7,260",09.14C.5-5.83,09732501353909,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.17,09R14,R3,LOTS 83 & 85 BLK 5 U 5,8-Electric,-,-
"$8,240",09.14C.5-5.87,09732501353987,CARNATION RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 87 BLK 5 UNIT 5,8-Electric,-,-
$820,09.14C.5-5.9,09732501162344,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 9 BLK 5 UNIT 5,8-Electric,-,-
"$9,600",09.14C.5-5.93,09732501355955,CARNATION RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.30,09R14,R3,LOT 93 BLK 5 U 5,8-Electric,-,-
$820,09.14C.5-6.40,09732501262379,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 40 BLK 6 UNIT 5,8-Electric,-,-
$820,09.14C.5-6.49,09732501265464,EDELWEISS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 49 BLK 6 UNIT 5,8-Electric,-,-
$820,09.14C.5-6.51,09732501266413,EDELWEISS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 51 BLK 6 UNIT 5,8-Electric,-,-
"$8,240",09.14C.5-6.53,09732501266472,EDELWEISS RD,Middle Smithfield,915-Amenties,6-Amenity,.11,09R14,R3,LOT 53 BLK 6 UNIT 5,8-Electric,-,-
"$8,340",09.14C.5-6.55,09732501267450,EDELWEISS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 55 & 57 BLK 6 U 5,8-Electric,-,-
"$8,340",09.14C.5-6.62,09732501269208,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.23,09R14,R3,LOTS 62 & 64 BLK 6 U 5,8-Electric,-,-
$820,09.14C.5-6.63,09732501269347,EDELWEISS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.11,09R14,R3,LOT 63 BLK 6 UNIT 5,8-Electric,-,-
$850,09.14C.5-6.78,09732501363212,DAFFODIL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.12,09R14,R3,LOT 78 BLK 6 UNIT 5,8-Electric,-,-
$900,09.14C.5-6.83,09732501364297,EDELWEISS RD,Middle Smithfield,913-Developments,9-Taxable,.14,09R14,R3,LOT 83 BLK 6 UNIT 5,8-Electric,-,-
$820,09.14C.5-6.84,09732501364178,DAFFODIL RD,Middle Smithfield,913-Developments,9-Taxable,.11,09R14,R3,LOT 84 BLK 6 UNIT 5,8-Electric,-,-
"$7,800",09.14D.8-1.52,09732503339093,HORNING RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.20,09R14,R2,"LOTS 52,54 BLOCK 1 UNIT 8",9-None,-,-
"$7,800",09.14D.8-1.53,09732503430113,GRANITE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.20,09R14,R2,"LOTS 53,55 BLOCK 1 UNIT 8",9-None,-,-
$940,09.14D.8-10.1,09732503343077,CROSS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.16,09R14,R2,LOT 1 BLOCK 10 UNIT 8,9-None,-,-
$800,09.14D.8-10.2,09732503343092,CROSS RD,Middle Smithfield,913-Developments,9-Taxable,.10,09R14,R2,1/2 LOT 2 BLOCK 10 UNIT 8,9-None,-,-
"$9,060",09.14D.8-10.22,09732503349116,BEANPOLE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.27,09R14,R2,"LOTS 22,23 BLK 10 UNIT 8",9-None,-,-
$800,09.14D.8-10.6,09732503345009,BEANPOLE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L6 BLK 10 UNIT 8,9-None,-,-
$800,09.14D.8-10.7,09732503345030,CASTOR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L7 BLK 10 UNIT 8,9-None,-,-
$800,09.14D.8-10.8,09732503345150,BEANPOLE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L8 BLK 10 UNIT 8,9-None,-,-
$800,09.14D.8-10.9,09732503345082,CASTOR RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L9 BLK 10 UNIT 8 INC 8,9-None,-,-
"$6,000",09.14D.8-11.10,09732503249098,BEANPOLE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,LOT 10 BLOCK 11 UNIT 8,9-None,-,-
"$8,880",09.14D.8-11.15,09732503341199,2613 CROSS RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.26,09R14,R2,"LOTS 15,16 BLK 11 UNIT 8",9-None,-,-
$800,09.14D.8-12.14,09732503346334,BROWNELL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L 14 BLK 12 UNIT 8,9-None,-,-
$800,09.14D.8-12.15,09732503346267,BEANPOLE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L 15 BLK 12 UNIT 8,9-None,-,-
$800,09.14D.8-12.16,09732503346386,BROWNELL RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L 16 BLK 12 UNIT 8,9-None,-,-
$800,09.14D.8-12.17,09732503347218,BEANPOLE RD,Middle Smithfield,911-Undevelped Land,9-Taxable,.10,09R14,R2,L 17 BLK 12 UNIT 8,9-None,-,-
